,classifier_name,dataset_name,accuracy,fit_time
0,KNN3,dataset1,0.98,0.013002872467041016
1,KNN3,dataset2,1.0,0.00799703598022461
2,KNN3,dataset3,0.92,0.010998249053955078
3,KNN3,dataset4,0.96,0.006999492645263672
4,KNN3,dataset5,0.96,0.011003255844116211
5,KNN3,dataset6,0.96,0.010034561157226562
6,KNN3,dataset7,0.94,0.015993833541870117
7,KNN3,dataset8,0.94,0.00699925422668457
8,KNN3,dataset9,0.98,0.008002996444702148
9,KNN3,dataset10,0.94,0.006996870040893555
10,KNN3,dataset11,0.98,0.008002519607543945
11,KNN3,dataset12,1.0,0.00699925422668457
12,KNN3,dataset13,0.92,0.00800466537475586
13,KNN3,dataset14,0.96,0.009999752044677734
14,KNN3,dataset15,0.96,0.015001296997070312
15,KNN3,dataset16,0.96,0.009000301361083984
16,KNN3,dataset17,0.94,0.00699925422668457
17,KNN3,dataset18,0.94,0.00800013542175293
18,KNN3,dataset19,0.98,0.007998466491699219
19,KNN3,dataset20,0.94,0.00800466537475586
20,KNN3,dataset21,0.98,0.007997989654541016
21,KNN3,dataset22,1.0,0.010003328323364258
22,KNN3,dataset23,0.92,0.008996248245239258
23,KNN3,dataset24,0.96,0.007997989654541016
24,KNN3,dataset25,0.96,0.008004903793334961
25,KNN3,dataset26,0.96,0.007996797561645508
26,KNN3,dataset27,0.94,0.010003328323364258
27,KNN3,dataset28,0.94,0.0069963932037353516
28,KNN3,dataset29,0.98,0.009998559951782227
29,KNN3,dataset30,0.94,0.011000394821166992
30,KNN3,dataset31,0.98,0.00699925422668457
31,KNN3,dataset32,1.0,0.007999658584594727
32,KNN3,dataset33,0.92,0.00999307632446289
33,KNN3,dataset34,0.96,0.01392507553100586
34,KNN3,dataset35,0.96,0.009005308151245117
35,KNN3,dataset36,0.96,0.009998559951782227
36,KNN3,dataset37,0.94,0.00999593734741211
37,KNN3,dataset38,0.94,0.009005546569824219
38,KNN3,dataset39,0.98,0.008997917175292969
39,KNN3,dataset40,0.94,0.007997989654541016
40,KNN3,dataset41,0.98,0.0069997310638427734
41,KNN3,dataset42,1.0,0.009003877639770508
42,KNN3,dataset43,0.92,0.0069980621337890625
43,KNN3,dataset44,0.96,0.009000062942504883
44,KNN3,dataset45,0.96,0.009999990463256836
45,KNN3,dataset46,0.96,0.014997243881225586
46,KNN3,dataset47,0.94,0.010999441146850586
47,KNN3,dataset48,0.94,0.008005857467651367
48,KNN3,dataset49,0.98,0.0069959163665771484
49,KNN3,dataset50,0.94,0.0070056915283203125
50,KNN5,dataset1,0.98,0.0069980621337890625
51,KNN5,dataset2,1.0,0.010998964309692383
52,KNN5,dataset3,0.9,0.012026071548461914
53,KNN5,dataset4,0.96,0.006995439529418945
54,KNN5,dataset5,0.94,0.009002447128295898
55,KNN5,dataset6,0.96,0.007996797561645508
56,KNN5,dataset7,0.96,0.00800180435180664
57,KNN5,dataset8,0.98,0.006994962692260742
58,KNN5,dataset9,0.98,0.009005546569824219
59,KNN5,dataset10,0.94,0.007993936538696289
60,KNN5,dataset11,0.98,0.008003711700439453
61,KNN5,dataset12,1.0,0.0069980621337890625
62,KNN5,dataset13,0.9,0.0110015869140625
63,KNN5,dataset14,0.96,0.010998964309692383
64,KNN5,dataset15,0.94,0.009001731872558594
65,KNN5,dataset16,0.96,0.006999015808105469
66,KNN5,dataset17,0.96,0.007997512817382812
67,KNN5,dataset18,0.98,0.012003183364868164
68,KNN5,dataset19,0.98,0.010998964309692383
69,KNN5,dataset20,0.94,0.00800323486328125
70,KNN5,dataset21,0.98,0.007001399993896484
71,KNN5,dataset22,1.0,0.0069980621337890625
72,KNN5,dataset23,0.9,0.006998538970947266
73,KNN5,dataset24,0.96,0.008004903793334961
74,KNN5,dataset25,0.94,0.00799703598022461
75,KNN5,dataset26,0.96,0.0070056915283203125
76,KNN5,dataset27,0.96,0.006999492645263672
77,KNN5,dataset28,0.98,0.007998228073120117
78,KNN5,dataset29,0.98,0.006997823715209961
79,KNN5,dataset30,0.94,0.00699925422668457
80,KNN5,dataset31,0.98,0.006970882415771484
81,KNN5,dataset32,1.0,0.006000041961669922
82,KNN5,dataset33,0.9,0.009000062942504883
83,KNN5,dataset34,0.96,0.0069997310638427734
84,KNN5,dataset35,0.94,0.007997989654541016
85,KNN5,dataset36,0.96,0.006999492645263672
86,KNN5,dataset37,0.96,0.009004354476928711
