,classifier_name,dataset_name,accuracy,fit_time
0,KNN3,dataset1,0.98,0.00998544692993164
1,KNN3,dataset2,0.96,0.010997533798217773
2,KNN3,dataset3,0.94,0.005997896194458008
3,KNN3,dataset4,0.98,0.0110015869140625
4,KNN3,dataset5,0.98,0.005998373031616211
5,KNN3,dataset6,0.98,0.008001089096069336
6,KNN3,dataset7,0.98,0.005998849868774414
7,KNN3,dataset8,0.96,0.00800180435180664
8,KNN3,dataset9,0.98,0.008999824523925781
9,KNN3,dataset10,1.0,0.00899815559387207
10,KNN3,dataset11,0.98,0.0069963932037353516
11,KNN3,dataset12,0.96,0.00700068473815918
12,KNN3,dataset13,0.94,0.00600123405456543
13,KNN3,dataset14,0.98,0.007000923156738281
14,KNN3,dataset15,0.98,0.005997896194458008
15,KNN3,dataset16,0.98,0.0060002803802490234
16,KNN3,dataset17,0.98,0.0065784454345703125
17,KNN3,dataset18,0.96,0.00599980354309082
18,KNN3,dataset19,0.98,0.00800013542175293
19,KNN3,dataset20,1.0,0.005999088287353516
20,KNN3,dataset21,0.98,0.007005453109741211
21,KNN3,dataset22,0.96,0.005990743637084961
22,KNN3,dataset23,0.94,0.006000041961669922
23,KNN3,dataset24,0.98,0.007001161575317383
24,KNN3,dataset25,0.98,0.00599980354309082
25,KNN3,dataset26,0.98,0.006010770797729492
26,KNN3,dataset27,0.98,0.005994081497192383
27,KNN3,dataset28,0.96,0.005999565124511719
28,KNN3,dataset29,0.98,0.006999492645263672
29,KNN3,dataset30,1.0,0.005999326705932617
30,KNN3,dataset31,0.98,0.007012844085693359
31,KNN3,dataset32,0.96,0.005995988845825195
32,KNN3,dataset33,0.94,0.00600123405456543
33,KNN3,dataset34,0.98,0.0069997310638427734
34,KNN3,dataset35,0.98,0.0060002803802490234
35,KNN3,dataset36,0.98,0.006001949310302734
36,KNN3,dataset37,0.98,0.005999326705932617
37,KNN3,dataset38,0.96,0.005997657775878906
38,KNN3,dataset39,0.98,0.006999969482421875
39,KNN3,dataset40,1.0,0.006001472473144531
40,KNN3,dataset41,0.98,0.007996797561645508
41,KNN3,dataset42,0.96,0.0049991607666015625
42,KNN3,dataset43,0.94,0.002038717269897461
43,KNN3,dataset44,0.98,0.012346029281616211
44,KNN3,dataset45,0.98,0.005999565124511719
45,KNN3,dataset46,0.98,0.009714365005493164
46,KNN3,dataset47,0.98,0.004034519195556641
47,KNN3,dataset48,0.96,0.00966787338256836
48,KNN3,dataset49,0.98,0.005002498626708984
49,KNN3,dataset50,1.0,0.005980253219604492
50,KNN5,dataset1,0.98,0.0060329437255859375
51,KNN5,dataset2,0.96,0.0060007572174072266
52,KNN5,dataset3,0.96,0.007962226867675781
53,KNN5,dataset4,0.98,0.00599980354309082
54,KNN5,dataset5,0.98,0.007007122039794922
55,KNN5,dataset6,0.96,0.005998849868774414
56,KNN5,dataset7,0.98,0.0030934810638427734
57,KNN5,dataset8,0.96,0.010628700256347656
58,KNN5,dataset9,0.98,0.005999326705932617
59,KNN5,dataset10,1.0,0.008002996444702148
60,KNN5,dataset11,0.98,0.006000995635986328
61,KNN5,dataset12,0.96,0.0069658756256103516
62,KNN5,dataset13,0.96,0.00603485107421875
63,KNN5,dataset14,0.98,0.003042936325073242
64,KNN5,dataset15,0.98,0.010883092880249023
65,KNN5,dataset16,0.96,0.006000041961669922
66,KNN5,dataset17,0.98,0.008004903793334961
67,KNN5,dataset18,0.96,0.005998134613037109
68,KNN5,dataset19,0.98,0.007337808609008789
69,KNN5,dataset20,1.0,0.005997180938720703
70,KNN5,dataset21,0.98,0.006006717681884766
71,KNN5,dataset22,0.96,0.008957386016845703
72,KNN5,dataset23,0.96,0.004999637603759766
73,KNN5,dataset24,0.98,0.007035732269287109
74,KNN5,dataset25,0.98,0.0059967041015625
75,KNN5,dataset26,0.96,0.00796961784362793
76,KNN5,dataset27,0.98,0.005997896194458008
77,KNN5,dataset28,0.96,0.0030651092529296875
78,KNN5,dataset29,0.98,0.01756882667541504
79,KNN5,dataset30,1.0,0.010995626449584961
80,KNN5,dataset31,0.98,0.008997201919555664
81,KNN5,dataset32,0.96,0.006997108459472656
82,KNN5,dataset33,0.96,0.005007028579711914
83,KNN5,dataset34,0.98,0.009985208511352539
84,KNN5,dataset35,0.98,0.005999565124511719
85,KNN5,dataset36,0.96,0.008037567138671875
86,KNN5,dataset37,0.98,0.00600123405456543
87,KNN5,dataset38,0.96,0.007967472076416016
88,KNN5,dataset39,0.98,0.006997823715209961
89,KNN5,dataset40,1.0,0.008008718490600586
90,KNN5,dataset41,0.98,0.0059947967529296875
91,KNN5,dataset42,0.96,0.006002187728881836
92,KNN5,dataset43,0.96,0.007994651794433594
93,KNN5,dataset44,0.98,0.006999969482421875
94,KNN5,dataset45,0.98,0.00800013542175293
95,KNN5,dataset46,0.96,0.00599980354309082
96,KNN5,dataset47,0.98,0.008002042770385742
97,KNN5,dataset48,0.96,0.006998300552368164
98,KNN5,dataset49,0.98,0.0070133209228515625
99,KNN5,dataset50,1.0,0.0059931278228759766
100,KNN7,dataset1,0.98,0.006011247634887695
101,KNN7,dataset2,0.98,0.006972074508666992
102,KNN7,dataset3,0.94,0.006999969482421875
103,KNN7,dataset4,1.0,0.007002592086791992
104,KNN7,dataset5,0.98,0.005999565124511719
105,KNN7,dataset6,0.96,0.007004976272583008
106,KNN7,dataset7,0.96,0.0069997310638427734
107,KNN7,dataset8,0.94,0.006002902984619141
108,KNN7,dataset9,0.98,0.006992340087890625
109,KNN7,dataset10,1.0,0.005998373031616211
110,KNN7,dataset11,0.98,0.00800013542175293
111,KNN7,dataset12,0.98,0.005997896194458008
112,KNN7,dataset13,0.94,0.009006977081298828
113,KNN7,dataset14,1.0,0.005998849868774414
114,KNN7,dataset15,0.98,0.008998394012451172
115,KNN7,dataset16,0.96,0.006000518798828125
116,KNN7,dataset17,0.96,0.008005142211914062
117,KNN7,dataset18,0.94,0.005995035171508789
118,KNN7,dataset19,0.98,0.005999565124511719
119,KNN7,dataset20,1.0,0.008997917175292969
120,KNN7,dataset21,0.98,0.005999565124511719
121,KNN7,dataset22,0.98,0.008037328720092773
122,KNN7,dataset23,0.94,0.00599980354309082
123,KNN7,dataset24,1.0,0.008967161178588867
124,KNN7,dataset25,0.98,0.006001472473144531
125,KNN7,dataset26,0.96,0.013999223709106445
126,KNN7,dataset27,0.96,0.007009267807006836
127,KNN7,dataset28,0.94,0.005989551544189453
128,KNN7,dataset29,0.98,0.00599980354309082
129,KNN7,dataset30,1.0,0.008992910385131836
130,KNN7,dataset31,0.98,0.0059986114501953125
131,KNN7,dataset32,0.98,0.009000301361083984
132,KNN7,dataset33,0.94,0.006997823715209961
133,KNN7,dataset34,1.0,0.00800013542175293
134,KNN7,dataset35,0.98,0.006001472473144531
135,KNN7,dataset36,0.96,0.010998010635375977
136,KNN7,dataset37,0.96,0.013000726699829102
137,KNN7,dataset38,0.94,0.00816202163696289
138,KNN7,dataset39,0.98,0.009222030639648438
139,KNN7,dataset40,1.0,0.0060002803802490234
140,KNN7,dataset41,0.98,0.008001565933227539
141,KNN7,dataset42,0.98,0.006003379821777344
142,KNN7,dataset43,0.94,0.008002281188964844
143,KNN7,dataset44,1.0,0.005995988845825195
