,accuracy,classifier_name,fit_time,dataset_name
0,0.98,KNN-3,0.006997585296630859,dataset1
1,0.96,KNN-3,0.012000083923339844,dataset2
2,0.94,KNN-3,0.010004997253417969,dataset3
3,0.98,KNN-3,0.0069942474365234375,dataset4
4,0.98,KNN-3,0.01100015640258789,dataset5
5,0.98,KNN-3,0.006999969482421875,dataset6
6,0.98,KNN-3,0.009001493453979492,dataset7
7,0.96,KNN-3,0.007998466491699219,dataset8
8,0.98,KNN-3,0.014997005462646484,dataset9
9,1.0,KNN-3,0.01000070571899414,dataset10
0,0.98,KNN-3,0.016992807388305664,dataset11
1,0.96,KNN-3,0.016028404235839844,dataset12
2,0.94,KNN-3,0.007992982864379883,dataset13
3,0.98,KNN-3,0.008997917175292969,dataset14
4,0.98,KNN-3,0.014004230499267578,dataset15
5,0.98,KNN-3,0.011989355087280273,dataset16
6,0.98,KNN-3,0.01204681396484375,dataset17
7,0.96,KNN-3,0.010023832321166992,dataset18
8,0.98,KNN-3,0.007993459701538086,dataset19
9,1.0,KNN-3,0.006037712097167969,dataset20
0,0.98,KNN-3,0.005991458892822266,dataset21
1,0.96,KNN-3,0.006006956100463867,dataset22
2,0.94,KNN-3,0.007001161575317383,dataset23
3,0.98,KNN-3,0.005994081497192383,dataset24
4,0.98,KNN-3,0.005997896194458008,dataset25
5,0.98,KNN-3,0.007002353668212891,dataset26
6,0.98,KNN-3,0.005997419357299805,dataset27
7,0.96,KNN-3,0.007000446319580078,dataset28
8,0.98,KNN-3,0.00696563720703125,dataset29
9,1.0,KNN-3,0.009002208709716797,dataset30
0,0.98,KNN-3,0.006000518798828125,dataset31
1,0.96,KNN-3,0.007008075714111328,dataset32
2,0.94,KNN-3,0.006961345672607422,dataset33
3,0.98,KNN-3,0.006999969482421875,dataset34
4,0.98,KNN-3,0.00799417495727539,dataset35
5,0.98,KNN-3,0.006004810333251953,dataset36
6,0.98,KNN-3,0.011032342910766602,dataset37
7,0.96,KNN-3,0.006967306137084961,dataset38
8,0.98,KNN-3,0.007035017013549805,dataset39
9,1.0,KNN-3,0.006002187728881836,dataset40
0,0.98,KNN-3,0.006000995635986328,dataset41
1,0.96,KNN-3,0.006002187728881836,dataset42
2,0.94,KNN-3,0.007993936538696289,dataset43
3,0.98,KNN-3,0.006999492645263672,dataset44
4,0.98,KNN-3,0.006965160369873047,dataset45
5,0.98,KNN-3,0.007035493850708008,dataset46
6,0.98,KNN-3,0.0060002803802490234,dataset47
7,0.96,KNN-3,0.0069637298583984375,dataset48
8,0.98,KNN-3,0.007040500640869141,dataset49
9,1.0,KNN-3,0.007997512817382812,dataset50
0,0.98,KNN-5,0.005998373031616211,dataset1
1,0.96,KNN-5,0.008967876434326172,dataset2
2,0.96,KNN-5,0.005998134613037109,dataset3
3,0.98,KNN-5,0.008993148803710938,dataset4
4,0.98,KNN-5,0.007005453109741211,dataset5
5,0.96,KNN-5,0.009006977081298828,dataset6
6,0.98,KNN-5,0.008029460906982422,dataset7
7,0.96,KNN-5,0.0099945068359375,dataset8
8,0.98,KNN-5,0.0069921016693115234,dataset9
9,1.0,KNN-5,0.009969234466552734,dataset10
0,0.98,KNN-5,0.010004520416259766,dataset11
1,0.96,KNN-5,0.006993293762207031,dataset12
2,0.96,KNN-5,0.011001110076904297,dataset13
3,0.98,KNN-5,0.007001399993896484,dataset14
4,0.98,KNN-5,0.009001731872558594,dataset15
5,0.96,KNN-5,0.007995367050170898,dataset16
6,0.98,KNN-5,0.015022754669189453,dataset17
7,0.96,KNN-5,0.012985467910766602,dataset18
8,0.98,KNN-5,0.007993459701538086,dataset19
9,1.0,KNN-5,0.011998891830444336,dataset20
0,0.98,KNN-5,0.00799560546875,dataset21
1,0.96,KNN-5,0.008000850677490234,dataset22
2,0.96,KNN-5,0.00799870491027832,dataset23
3,0.98,KNN-5,0.009035587310791016,dataset24
4,0.98,KNN-5,0.005997180938720703,dataset25
5,0.96,KNN-5,0.010027170181274414,dataset26
6,0.98,KNN-5,0.006968259811401367,dataset27
7,0.96,KNN-5,0.00800013542175293,dataset28
8,0.98,KNN-5,0.00599980354309082,dataset29
9,1.0,KNN-5,0.006006717681884766,dataset30
0,0.98,KNN-5,0.006001472473144531,dataset31
1,0.96,KNN-5,0.006045818328857422,dataset32
2,0.96,KNN-5,0.006986856460571289,dataset33
3,0.98,KNN-5,0.0060002803802490234,dataset34
4,0.98,KNN-5,0.0070018768310546875,dataset35
5,0.96,KNN-5,0.0060002803802490234,dataset36
6,0.98,KNN-5,0.0059680938720703125,dataset37
7,0.96,KNN-5,0.005997657775878906,dataset38
8,0.98,KNN-5,0.005999326705932617,dataset39
9,1.0,KNN-5,0.006998300552368164,dataset40
0,0.98,KNN-5,0.005998849868774414,dataset41
1,0.96,KNN-5,0.006000041961669922,dataset42
2,0.96,KNN-5,0.007000446319580078,dataset43
3,0.98,KNN-5,0.006002664566040039,dataset44
4,0.98,KNN-5,0.005996227264404297,dataset45
5,0.96,KNN-5,0.005997419357299805,dataset46
6,0.98,KNN-5,0.0059986114501953125,dataset47
7,0.96,KNN-5,0.0060002803802490234,dataset48
8,0.98,KNN-5,0.005999088287353516,dataset49
9,1.0,KNN-5,0.007006168365478516,dataset50
0,0.98,KNN-7,0.008997917175292969,dataset1
1,0.98,KNN-7,0.006995201110839844,dataset2
2,0.94,KNN-7,0.01001429557800293,dataset3
3,1.0,KNN-7,0.0069882869720458984,dataset4
4,0.98,KNN-7,0.009999990463256836,dataset5
5,0.96,KNN-7,0.006997346878051758,dataset6
6,0.96,KNN-7,0.010006904602050781,dataset7
7,0.94,KNN-7,0.0059931278228759766,dataset8
8,0.98,KNN-7,0.010000228881835938,dataset9
9,1.0,KNN-7,0.007019758224487305,dataset10
0,0.98,KNN-7,0.007944822311401367,dataset11
1,0.98,KNN-7,0.0060024261474609375,dataset12
2,0.94,KNN-7,0.013029336929321289,dataset13
3,1.0,KNN-7,0.00796961784362793,dataset14
4,0.98,KNN-7,0.006994724273681641,dataset15
5,0.96,KNN-7,0.010986566543579102,dataset16
6,0.96,KNN-7,0.011001825332641602,dataset17
7,0.94,KNN-7,0.01099705696105957,dataset18
8,0.98,KNN-7,0.009003877639770508,dataset19
9,1.0,KNN-7,0.008029699325561523,dataset20
0,0.98,KNN-7,0.005999565124511719,dataset21
1,0.98,KNN-7,0.0060040950775146484,dataset22
2,0.94,KNN-7,0.006995677947998047,dataset23
3,1.0,KNN-7,0.006002187728881836,dataset24
4,0.98,KNN-7,0.00699925422668457,dataset25
5,0.96,KNN-7,0.006001472473144531,dataset26
6,0.96,KNN-7,0.007003307342529297,dataset27
7,0.94,KNN-7,0.006032466888427734,dataset28
8,0.98,KNN-7,0.005007505416870117,dataset29
9,1.0,KNN-7,0.0059893131256103516,dataset30
0,0.98,KNN-7,0.006002902984619141,dataset31
1,0.98,KNN-7,0.005990505218505859,dataset32
2,0.94,KNN-7,0.005999326705932617,dataset33
3,1.0,KNN-7,0.005967378616333008,dataset34
4,0.98,KNN-7,0.006044626235961914,dataset35
5,0.96,KNN-7,0.005999565124511719,dataset36
6,0.96,KNN-7,0.006003856658935547,dataset37
7,0.94,KNN-7,0.005995750427246094,dataset38
8,0.98,KNN-7,0.0060040950775146484,dataset39
9,1.0,KNN-7,0.006000995635986328,dataset40
0,0.98,KNN-7,0.0049970149993896484,dataset41
1,0.98,KNN-7,0.006000995635986328,dataset42
2,0.94,KNN-7,0.006007671356201172,dataset43
3,1.0,KNN-7,0.0059642791748046875,dataset44
4,0.98,KNN-7,0.006030082702636719,dataset45
5,0.96,KNN-7,0.0060045719146728516,dataset46
6,0.96,KNN-7,0.005995750427246094,dataset47
7,0.94,KNN-7,0.006000518798828125,dataset48
8,0.98,KNN-7,0.005004167556762695,dataset49
9,1.0,KNN-7,0.005994319915771484,dataset50
0,0.96,KNN-9,0.004988670349121094,dataset1
1,0.98,KNN-9,0.005993843078613281,dataset2
2,0.92,KNN-9,0.005997896194458008,dataset3
3,1.0,KNN-9,0.006009101867675781,dataset4
4,0.98,KNN-9,0.005957365036010742,dataset5
5,0.96,KNN-9,0.006000995635986328,dataset6
6,0.96,KNN-9,0.005965471267700195,dataset7
7,0.94,KNN-9,0.006035804748535156,dataset8
8,0.98,KNN-9,0.004998683929443359,dataset9
9,1.0,KNN-9,0.005961418151855469,dataset10
0,0.96,KNN-9,0.007000923156738281,dataset11
1,0.98,KNN-9,0.00899815559387207,dataset12
2,0.92,KNN-9,0.006002187728881836,dataset13
3,1.0,KNN-9,0.00899648666381836,dataset14
4,0.98,KNN-9,0.006000995635986328,dataset15
5,0.96,KNN-9,0.007045745849609375,dataset16
6,0.96,KNN-9,0.0069942474365234375,dataset17
7,0.94,KNN-9,0.009005308151245117,dataset18
8,0.98,KNN-9,0.007033586502075195,dataset19
9,1.0,KNN-9,0.007969141006469727,dataset20
0,0.96,KNN-9,0.0059680938720703125,dataset21
1,0.98,KNN-9,0.008991718292236328,dataset22
2,0.92,KNN-9,0.006001949310302734,dataset23
3,1.0,KNN-9,0.008998870849609375,dataset24
4,0.98,KNN-9,0.008050918579101562,dataset25
5,0.96,KNN-9,0.00795602798461914,dataset26
6,0.96,KNN-9,0.007994890213012695,dataset27
7,0.94,KNN-9,0.010003089904785156,dataset28
8,0.98,KNN-9,0.0070307254791259766,dataset29
9,1.0,KNN-9,0.009964704513549805,dataset30
0,0.96,KNN-9,0.007964372634887695,dataset31
1,0.98,KNN-9,0.006987810134887695,dataset32
2,0.92,KNN-9,0.009002923965454102,dataset33
3,1.0,KNN-9,0.006024360656738281,dataset34
4,0.98,KNN-9,0.006953001022338867,dataset35
5,0.96,KNN-9,0.006043434143066406,dataset36
6,0.96,KNN-9,0.005998849868774414,dataset37
7,0.94,KNN-9,0.006954669952392578,dataset38
8,0.98,KNN-9,0.0070493221282958984,dataset39
9,1.0,KNN-9,0.005949258804321289,dataset40
0,0.96,KNN-9,0.006994724273681641,dataset41
1,0.98,KNN-9,0.0069522857666015625,dataset42
2,0.92,KNN-9,0.007002115249633789,dataset43
3,1.0,KNN-9,0.00801396369934082,dataset44
4,0.98,KNN-9,0.005968332290649414,dataset45
5,0.96,KNN-9,0.006002187728881836,dataset46
6,0.96,KNN-9,0.009046077728271484,dataset47
7,0.94,KNN-9,0.006005287170410156,dataset48
8,0.98,KNN-9,0.00793910026550293,dataset49
9,1.0,KNN-9,0.00899648666381836,dataset50
0,1.0,KNN-15,0.009030580520629883,dataset1
1,1.0,KNN-15,0.008967161178588867,dataset2
2,0.94,KNN-15,0.005978584289550781,dataset3
3,1.0,KNN-15,0.0070037841796875,dataset4
4,0.96,KNN-15,0.009996652603149414,dataset5
5,0.96,KNN-15,0.008001565933227539,dataset6
6,0.98,KNN-15,0.006986141204833984,dataset7
7,0.94,KNN-15,0.009998321533203125,dataset8
8,0.98,KNN-15,0.007002830505371094,dataset9
9,1.0,KNN-15,0.007918119430541992,dataset10
0,1.0,KNN-15,0.009031295776367188,dataset11
1,1.0,KNN-15,0.005965232849121094,dataset12
2,0.94,KNN-15,0.009003400802612305,dataset13
3,1.0,KNN-15,0.00797891616821289,dataset14
4,0.96,KNN-15,0.008995532989501953,dataset15
5,0.96,KNN-15,0.006002902984619141,dataset16
6,0.98,KNN-15,0.01203298568725586,dataset17
7,0.94,KNN-15,0.010964393615722656,dataset18
8,0.98,KNN-15,0.008027076721191406,dataset19
9,1.0,KNN-15,0.007000446319580078,dataset20
0,1.0,KNN-15,0.006028890609741211,dataset21
1,1.0,KNN-15,0.006034374237060547,dataset22
2,0.94,KNN-15,0.005994558334350586,dataset23
3,1.0,KNN-15,0.006000041961669922,dataset24
