,accuracy,classifier_name,fit_time,dataset_name
0,0.9370904325032765,KNN-3,0.049036264419555664,dataset1
1,0.9475753604193972,KNN-3,0.0519566535949707,dataset2
2,0.9554390563564875,KNN-3,0.0480341911315918,dataset3
3,0.9488859764089121,KNN-3,0.07296586036682129,dataset4
4,0.9462647444298821,KNN-3,0.051041364669799805,dataset5
5,0.9357798165137615,KNN-3,0.049103498458862305,dataset6
6,0.9423328964613368,KNN-3,0.05400371551513672,dataset7
7,0.944954128440367,KNN-3,0.05201101303100586,dataset8
8,0.9423328964613368,KNN-3,0.05198955535888672,dataset9
9,0.9357798165137615,KNN-3,0.05200314521789551,dataset10
0,0.9370904325032765,KNN-3,0.045000553131103516,dataset11
1,0.9475753604193972,KNN-3,0.04999852180480957,dataset12
2,0.9554390563564875,KNN-3,0.04398941993713379,dataset13
3,0.9488859764089121,KNN-3,0.05501508712768555,dataset14
4,0.9462647444298821,KNN-3,0.04500007629394531,dataset15
5,0.9357798165137615,KNN-3,0.043992042541503906,dataset16
6,0.9423328964613368,KNN-3,0.057012081146240234,dataset17
7,0.944954128440367,KNN-3,0.057947397232055664,dataset18
8,0.9423328964613368,KNN-3,0.06000185012817383,dataset19
9,0.9357798165137615,KNN-3,0.06799697875976562,dataset20
0,0.9370904325032765,KNN-3,0.05699419975280762,dataset21
1,0.9475753604193972,KNN-3,0.056000471115112305,dataset22
2,0.9554390563564875,KNN-3,0.0590360164642334,dataset23
3,0.9488859764089121,KNN-3,0.0729682445526123,dataset24
4,0.9462647444298821,KNN-3,0.10199832916259766,dataset25
5,0.9357798165137615,KNN-3,0.08801507949829102,dataset26
6,0.9423328964613368,KNN-3,0.09599137306213379,dataset27
7,0.944954128440367,KNN-3,0.08400321006774902,dataset28
8,0.9423328964613368,KNN-3,0.06503677368164062,dataset29
9,0.9357798165137615,KNN-3,0.059003591537475586,dataset30
0,0.9370904325032765,KNN-3,0.05499672889709473,dataset31
1,0.9475753604193972,KNN-3,0.06996846199035645,dataset32
2,0.9554390563564875,KNN-3,0.06000065803527832,dataset33
3,0.9488859764089121,KNN-3,0.06200885772705078,dataset34
4,0.9462647444298821,KNN-3,0.051958322525024414,dataset35
5,0.9357798165137615,KNN-3,0.09000158309936523,dataset36
6,0.9423328964613368,KNN-3,0.11800098419189453,dataset37
7,0.944954128440367,KNN-3,0.12899541854858398,dataset38
8,0.9423328964613368,KNN-3,0.08603501319885254,dataset39
9,0.9357798165137615,KNN-3,0.07401442527770996,dataset40
0,0.9370904325032765,KNN-3,0.05495023727416992,dataset41
1,0.9475753604193972,KNN-3,0.07898283004760742,dataset42
2,0.9554390563564875,KNN-3,0.08196806907653809,dataset43
3,0.9488859764089121,KNN-3,0.08997964859008789,dataset44
4,0.9462647444298821,KNN-3,0.057996511459350586,dataset45
5,0.9357798165137615,KNN-3,0.08600211143493652,dataset46
6,0.9423328964613368,KNN-3,0.0939950942993164,dataset47
7,0.944954128440367,KNN-3,0.08200287818908691,dataset48
8,0.9423328964613368,KNN-3,0.08599996566772461,dataset49
9,0.9357798165137615,KNN-3,0.07799839973449707,dataset50
0,0.9226736566186108,KNN-5,0.06304574012756348,dataset1
1,0.9344692005242464,KNN-5,0.06698179244995117,dataset2
2,0.9475753604193972,KNN-5,0.0640113353729248,dataset3
3,0.9239842726081258,KNN-5,0.0689554214477539,dataset4
4,0.9331585845347313,KNN-5,0.0559995174407959,dataset5
5,0.9187418086500655,KNN-5,0.0550076961517334,dataset6
6,0.9357798165137615,KNN-5,0.08202910423278809,dataset7
7,0.9410222804718218,KNN-5,0.07000613212585449,dataset8
8,0.9292267365661862,KNN-5,0.0690302848815918,dataset9
9,0.9187418086500655,KNN-5,0.05901813507080078,dataset10
0,0.9226736566186108,KNN-5,0.04994392395019531,dataset11
1,0.9344692005242464,KNN-5,0.08504676818847656,dataset12
2,0.9475753604193972,KNN-5,0.08194994926452637,dataset13
3,0.9239842726081258,KNN-5,0.06702947616577148,dataset14
4,0.9331585845347313,KNN-5,0.056002140045166016,dataset15
5,0.9187418086500655,KNN-5,0.05899548530578613,dataset16
6,0.9357798165137615,KNN-5,0.06000971794128418,dataset17
7,0.9410222804718218,KNN-5,0.06499743461608887,dataset18
8,0.9292267365661862,KNN-5,0.06003594398498535,dataset19
9,0.9187418086500655,KNN-5,0.06996583938598633,dataset20
0,0.9226736566186108,KNN-5,0.04999709129333496,dataset21
1,0.9344692005242464,KNN-5,0.05499911308288574,dataset22
2,0.9475753604193972,KNN-5,0.05104184150695801,dataset23
3,0.9239842726081258,KNN-5,0.054997920989990234,dataset24
4,0.9331585845347313,KNN-5,0.04800009727478027,dataset25
5,0.9187418086500655,KNN-5,0.04700446128845215,dataset26
6,0.9357798165137615,KNN-5,0.05396389961242676,dataset27
7,0.9410222804718218,KNN-5,0.06400012969970703,dataset28
8,0.9292267365661862,KNN-5,0.055998802185058594,dataset29
9,0.9187418086500655,KNN-5,0.05699729919433594,dataset30
0,0.9226736566186108,KNN-5,0.05500149726867676,dataset31
1,0.9344692005242464,KNN-5,0.061995744705200195,dataset32
2,0.9475753604193972,KNN-5,0.05499887466430664,dataset33
3,0.9239842726081258,KNN-5,0.05403900146484375,dataset34
