,accuracy,classifier_name,fit_time,dataset_name
0,0.98,KNN-3,0.005959033966064453,dataset1
1,1.0,KNN-3,0.006999492645263672,dataset2
2,0.92,KNN-3,0.006024837493896484,dataset3
3,0.96,KNN-3,0.004975080490112305,dataset4
4,0.96,KNN-3,0.00800180435180664,dataset5
5,0.96,KNN-3,0.005999565124511719,dataset6
6,0.94,KNN-3,0.0050048828125,dataset7
7,0.94,KNN-3,0.005003452301025391,dataset8
8,0.98,KNN-3,0.004994392395019531,dataset9
9,0.94,KNN-3,0.006000995635986328,dataset10
0,0.98,KNN-3,0.005005359649658203,dataset11
1,1.0,KNN-3,0.00399327278137207,dataset12
2,0.92,KNN-3,0.006002664566040039,dataset13
3,0.96,KNN-3,0.0049970149993896484,dataset14
4,0.96,KNN-3,0.005000114440917969,dataset15
5,0.96,KNN-3,0.005002498626708984,dataset16
6,0.94,KNN-3,0.0049974918365478516,dataset17
7,0.94,KNN-3,0.004000186920166016,dataset18
8,0.98,KNN-3,0.005003929138183594,dataset19
9,0.94,KNN-3,0.005027294158935547,dataset20
0,0.98,KNN-3,0.005013704299926758,dataset21
1,1.0,KNN-3,0.006968259811401367,dataset22
2,0.92,KNN-3,0.005997657775878906,dataset23
3,0.96,KNN-3,0.0050008296966552734,dataset24
4,0.96,KNN-3,0.006999492645263672,dataset25
5,0.96,KNN-3,0.005001068115234375,dataset26
6,0.94,KNN-3,0.005011081695556641,dataset27
7,0.94,KNN-3,0.005990028381347656,dataset28
8,0.98,KNN-3,0.004998922348022461,dataset29
9,0.94,KNN-3,0.006003379821777344,dataset30
0,0.98,KNN-3,0.005998373031616211,dataset31
1,1.0,KNN-3,0.00400090217590332,dataset32
2,0.92,KNN-3,0.0050089359283447266,dataset33
3,0.96,KNN-3,0.004991054534912109,dataset34
4,0.96,KNN-3,0.004000663757324219,dataset35
5,0.96,KNN-3,0.0060002803802490234,dataset36
6,0.94,KNN-3,0.0069980621337890625,dataset37
7,0.94,KNN-3,0.008003711700439453,dataset38
8,0.98,KNN-3,0.004996776580810547,dataset39
9,0.94,KNN-3,0.00500035285949707,dataset40
0,0.98,KNN-3,0.006000995635986328,dataset41
1,1.0,KNN-3,0.0049974918365478516,dataset42
