,accuracy,classifier_name,fit_time,dataset_name
0,0.8165137614678899,KNN-3,0.03795027732849121,dataset1
1,0.8610747051114024,KNN-3,0.032762765884399414,dataset2
2,0.8610747051114024,KNN-3,0.03263735771179199,dataset3
3,0.8558322411533421,KNN-3,0.03469562530517578,dataset4
4,0.8532110091743119,KNN-3,0.030661582946777344,dataset5
5,0.8296199213630406,KNN-3,0.03834700584411621,dataset6
6,0.8505897771952818,KNN-3,0.03929901123046875,dataset7
7,0.8335517693315858,KNN-3,0.03356432914733887,dataset8
8,0.8296199213630406,KNN-3,0.03372073173522949,dataset9
9,0.8453473132372215,KNN-3,0.039513587951660156,dataset10
0,0.8165137614678899,KNN-3,0.0316469669342041,dataset11
1,0.8610747051114024,KNN-3,0.030352115631103516,dataset12
2,0.8610747051114024,KNN-3,0.0302278995513916,dataset13
3,0.8558322411533421,KNN-3,0.030351877212524414,dataset14
4,0.8532110091743119,KNN-3,0.0308687686920166,dataset15
5,0.8296199213630406,KNN-3,0.031197071075439453,dataset16
6,0.8505897771952818,KNN-3,0.03037571907043457,dataset17
7,0.8335517693315858,KNN-3,0.029165983200073242,dataset18
8,0.8296199213630406,KNN-3,0.030369997024536133,dataset19
9,0.8453473132372215,KNN-3,0.03545331954956055,dataset20
0,0.8165137614678899,KNN-3,0.03222775459289551,dataset21
1,0.8610747051114024,KNN-3,0.031299591064453125,dataset22
2,0.8610747051114024,KNN-3,0.04999065399169922,dataset23
3,0.8558322411533421,KNN-3,0.031340599060058594,dataset24
4,0.8532110091743119,KNN-3,0.0313267707824707,dataset25
5,0.8296199213630406,KNN-3,0.03232836723327637,dataset26
6,0.8505897771952818,KNN-3,0.03234505653381348,dataset27
7,0.8335517693315858,KNN-3,0.032306671142578125,dataset28
8,0.8296199213630406,KNN-3,0.03298020362854004,dataset29
9,0.8453473132372215,KNN-3,0.029687881469726562,dataset30
0,0.8165137614678899,KNN-3,0.029300928115844727,dataset31
1,0.8610747051114024,KNN-3,0.030707597732543945,dataset32
2,0.8610747051114024,KNN-3,0.03132510185241699,dataset33
3,0.8558322411533421,KNN-3,0.030994892120361328,dataset34
4,0.8532110091743119,KNN-3,0.03038167953491211,dataset35
5,0.8296199213630406,KNN-3,0.030281543731689453,dataset36
6,0.8505897771952818,KNN-3,0.030279874801635742,dataset37
7,0.8335517693315858,KNN-3,0.028919458389282227,dataset38
8,0.8296199213630406,KNN-3,0.03016042709350586,dataset39
9,0.8453473132372215,KNN-3,0.03147554397583008,dataset40
0,0.8165137614678899,KNN-3,0.029996156692504883,dataset41
1,0.8610747051114024,KNN-3,0.029467105865478516,dataset42
2,0.8610747051114024,KNN-3,0.03158998489379883,dataset43
3,0.8558322411533421,KNN-3,0.0313715934753418,dataset44
4,0.8532110091743119,KNN-3,0.029973268508911133,dataset45
5,0.8296199213630406,KNN-3,0.02891397476196289,dataset46
6,0.8505897771952818,KNN-3,0.03216075897216797,dataset47
7,0.8335517693315858,KNN-3,0.03035902976989746,dataset48
8,0.8296199213630406,KNN-3,0.030532360076904297,dataset49
9,0.8453473132372215,KNN-3,0.030318021774291992,dataset50
0,0.8283093053735255,W-KNN-3,0.00873112678527832,dataset1
1,0.872870249017038,W-KNN-3,0.008986473083496094,dataset2
2,0.8754914809960681,W-KNN-3,0.008699655532836914,dataset3
