,accuracy,classifier_name,fit_time,dataset_name
0,0.8224242424242424,KNN-3,0.07503318786621094,dataset1
1,0.8206060606060606,KNN-3,0.06096386909484863,dataset2
2,0.8248484848484848,KNN-3,0.05796217918395996,dataset3
3,0.8242424242424242,KNN-3,0.05458498001098633,dataset4
4,0.8151515151515152,KNN-3,0.06143045425415039,dataset5
5,0.8193939393939393,KNN-3,0.06109309196472168,dataset6
6,0.8278787878787879,KNN-3,0.05500316619873047,dataset7
7,0.8333333333333334,KNN-3,0.0546872615814209,dataset8
8,0.8175757575757576,KNN-3,0.05723452568054199,dataset9
9,0.813939393939394,KNN-3,0.0537109375,dataset10
0,0.8224242424242424,KNN-3,0.05193662643432617,dataset11
1,0.8206060606060606,KNN-3,0.05208134651184082,dataset12
2,0.8248484848484848,KNN-3,0.05296635627746582,dataset13
3,0.8242424242424242,KNN-3,0.05660414695739746,dataset14
4,0.8151515151515152,KNN-3,0.05800938606262207,dataset15
5,0.8193939393939393,KNN-3,0.0586545467376709,dataset16
6,0.8278787878787879,KNN-3,0.057054996490478516,dataset17
7,0.8333333333333334,KNN-3,0.05496716499328613,dataset18
8,0.8175757575757576,KNN-3,0.05464315414428711,dataset19
9,0.813939393939394,KNN-3,0.0539700984954834,dataset20
0,0.8224242424242424,KNN-3,0.052045583724975586,dataset21
1,0.8206060606060606,KNN-3,0.05298757553100586,dataset22
2,0.8248484848484848,KNN-3,0.05465579032897949,dataset23
3,0.8242424242424242,KNN-3,0.05401277542114258,dataset24
4,0.8151515151515152,KNN-3,0.05198168754577637,dataset25
5,0.8193939393939393,KNN-3,0.050998687744140625,dataset26
6,0.8278787878787879,KNN-3,0.05294156074523926,dataset27
7,0.8333333333333334,KNN-3,0.05368614196777344,dataset28
8,0.8175757575757576,KNN-3,0.050966501235961914,dataset29
9,0.813939393939394,KNN-3,0.052097320556640625,dataset30
0,0.8224242424242424,KNN-3,0.06272411346435547,dataset31
1,0.8206060606060606,KNN-3,0.054959774017333984,dataset32
2,0.8248484848484848,KNN-3,0.05504465103149414,dataset33
3,0.8242424242424242,KNN-3,0.06300020217895508,dataset34
4,0.8151515151515152,KNN-3,0.06364655494689941,dataset35
5,0.8193939393939393,KNN-3,0.0646212100982666,dataset36
6,0.8278787878787879,KNN-3,0.06071019172668457,dataset37
7,0.8333333333333334,KNN-3,0.05595827102661133,dataset38
8,0.8175757575757576,KNN-3,0.06067228317260742,dataset39
9,0.813939393939394,KNN-3,0.05795574188232422,dataset40
0,0.8224242424242424,KNN-3,0.05698823928833008,dataset41
1,0.8206060606060606,KNN-3,0.05966615676879883,dataset42
2,0.8248484848484848,KNN-3,0.06003594398498535,dataset43
3,0.8242424242424242,KNN-3,0.06687784194946289,dataset44
4,0.8151515151515152,KNN-3,0.05947065353393555,dataset45
5,0.8193939393939393,KNN-3,0.061586856842041016,dataset46
6,0.8278787878787879,KNN-3,0.06367754936218262,dataset47
7,0.8333333333333334,KNN-3,0.06202220916748047,dataset48
8,0.8175757575757576,KNN-3,0.059563398361206055,dataset49
9,0.813939393939394,KNN-3,0.05969715118408203,dataset50
0,0.8193939393939393,W-KNN-3,0.015006065368652344,dataset1
1,0.8187878787878788,W-KNN-3,0.015004873275756836,dataset2
2,0.8212121212121212,W-KNN-3,0.015999794006347656,dataset3
3,0.8254545454545454,W-KNN-3,0.016026020050048828,dataset4
4,0.8145454545454546,W-KNN-3,0.016000747680664062,dataset5
5,0.8157575757575758,W-KNN-3,0.015949487686157227,dataset6
6,0.8278787878787879,W-KNN-3,0.017060518264770508,dataset7
